metric,juniors,inactives,floor,fed,yP,yPEA,E,A,weight
mean,FALSE,FALSE,1000,POL,45.97208866230146,67.34835274757668,-11.049066087850576,9.35692908983593,0.0018084177128891803
mean,FALSE,FALSE,1000,ROU,-107.32951906287286,-7.56296392204201,-53.2146931325576,7.406652325543497,5.381501321624898e-4
mean,FALSE,FALSE,1000,RUS,109.29498853795637,150.19215649257782,-21.58756540739462,8.02720372606521,0.003969610065237347
mean,FALSE,FALSE,1000,SLO,-49.16643772840897,144.97078920781948,-103.65757575757577,12.071780303030302,3.9277074469807027e-4
mean,FALSE,FALSE,1000,SRB,69.1735939288721,172.73969914271265,-54.83291245791247,16.68223905723906,0.0019050193723239874
mean,FALSE,FALSE,1000,SRI,108.53650459220175,47.106738737259285,33.19975199779554,4.987186552769359,0.0010450749614214863
mean,FALSE,FALSE,1000,SUI,166.116962037255,253.8310830789352,-46.87271241830065,4.602941176470587,5.900475894126129e-4
mean,FALSE,FALSE,1000,SVK,49.42455712947468,72.69582389546876,-11.840863559679462,14.319524989455928,9.391606742464123e-4
mean,FALSE,FALSE,1000,SWE,178.57319865457424,200.65887234968213,-11.565853384844743,6.362209647168214,6.305486461185069e-4
mean,FALSE,FALSE,1000,TUR,61.90202204397614,58.119182910694235,2.387816773934034,7.868206958970237,0.0011409392627177103
mean,FALSE,FALSE,1000,UKR,74.75980537187831,159.3781485377086,-44.80221434106217,13.604518090242593,6.749973472951253e-4
mean,FALSE,FALSE,1000,USA,42.89011639738211,173.14788229512206,-69.65471204188484,5.789397905759159,4.799036213962447e-4
mean,FALSE,FALSE,1000,VIE,88.42306758253011,99.65408616490471,-5.7451807228915754,6.236445783132531,2.112373753608004e-4
mean,FALSE,FALSE,1400,ARG,-107.16796617971173,32.008878065560474,-111.90371884735202,11.528913551401871,4.578935963106529e-4
mean,FALSE,FALSE,1400,AUT,97.51105437875785,146.98339462805689,-51.7307731257776,13.608612308671624,0.0014643819349298918
mean,FALSE,FALSE,1400,BEL,88.14715496851495,113.45931870039757,-30.01924423738619,9.788572211564812,7.585075257317421e-4
mean,FALSE,FALSE,1400,BRA,117.39729510303333,131.59600828772366,-27.24721706864564,13.772096474953614,0.0015359390086060543
mean,FALSE,FALSE,1400,BUL,19.97096918469072,90.17129291749589,-55.948425624321374,5.4209554831704665,3.323281904810792e-4
mean,FALSE,FALSE,1400,CHN,52.90640724994422,91.09812774130769,-27.042825361512797,0.24771968854282633,3.4558703159293975e-4
mean,FALSE,FALSE,1400,COL,45.34909241170636,107.74303067986614,-59.631105006105,12.698489010989007,0.0010961245731468442
mean,FALSE,FALSE,1400,CRO,54.837586678596224,93.37157735228362,-46.33942877046326,15.410549460118425,0.0010552654127934775
mean,FALSE,FALSE,1400,CUB,80.18753940048542,152.6440425930673,-65.38310830955322,11.671238127688575,0.0010367991243948737
mean,FALSE,FALSE,1400,CZE,21.921475743715458,45.99515145005812,-34.24277309816331,13.83876078121122,0.0025133732859659178
mean,FALSE,FALSE,1400,ENG,50.346755228618036,56.72601279935316,-15.312252657717082,8.630651043687436,7.700396241596969e-4
mean,FALSE,FALSE,1400,ESP,19.334743932341823,25.576536115158707,-19.50247392194622,12.041176649916416,0.003438199820896878
mean,FALSE,FALSE,1400,FRA,60.197104959286364,89.40856184844372,-36.43804658366322,12.724201169966399,0.005490344715785754
mean,FALSE,FALSE,1400,GEO,-72.3120316875,-49.31827888659572,-23.2421875,5.6875,2.785042590642395e-4
mean,FALSE,FALSE,1400,GER,116.79581364204593,120.74727173534473,-11.763734902782758,7.159300991070204,0.0076588751335166395
mean,FALSE,FALSE,1400,GRE,87.69859291308639,81.95317380628364,-7.963440746981178,9.535786998034258,0.001405766723175483
mean,FALSE,FALSE,1400,HUN,8.163526129387224,19.87019305880085,-27.484491517112886,15.34871040502108,0.0015364765972389195
mean,FALSE,FALSE,1400,IND,-179.88590721180628,9.03262668273041,-142.8502248300066,8.450416758060975,0.0011091207931370408
mean,FALSE,FALSE,1400,IRI,30.70184614320739,53.29936420483652,-28.30350074445292,9.935223517449248,0.0013448317573830932
mean,FALSE,FALSE,1400,ISR,-3.8157881253949455,87.21732943309624,-73.09064902556767,7.458430180582873,4.2154924272984643e-4
